,DATE,No_Cases,,,Row Labels,Sum of No_Cases,,,,,,,,,
122,6/3/2021,1816,,,,,,,,,,,,,
123,6/4/2021,1865,,,,,,,,,,,,,
124,6/5/2021,1765,,,,,,,,,,,,,
125,6/6/2021,1774,,,,,,,,,,,,,
126,6/7/2021,1787,,,,,,,,,,,,,
127,6/8/2021,1908,,,,,,,,,,,,,
128,6/9/2021,1846,,,,,,,,,,,,,
129,6/10/2021,1789,,,,,,,,,,,,,
130,6/11/2021,1865,,,,,,,,,,,,,
131,6/12/2021,1819,,,,,,,,,,,,,
132,6/13/2021,1713,,,,,,,,,,,,,
133,6/14/2021,1867,,,,,,,,,,,,,
134,6/15/2021,1842,,,,,,,,,,,,,
135,6/16/2021,1982,,,,,,,,,,,,,
136,6/17/2021,1739,,,,,,,,,,,,,
137,6/18/2021,1764,,,,,,,,,,,,,
138,6/19/2021,1739,,,,,,,,,,,,,
139,6/20/2021,1723,,,,,,,,,,,,,
140,6/21/2021,1884,,,,,,,,,,,,,
141,6/22/2021,1902,,,,,,,,,,,,,
142,6/23/2021,2021,,,,,,,,,,,,,
143,6/24/2021,1667,,,,,,,,,,,,,
144,6/25/2021,1885,,,,,,,,,,,,,
145,6/26/2021,1724,,,,,,,,,,,,,
146,6/27/2021,1722,,,,,,,,,,,,,
147,6/28/2021,1898,,,,,,,,,,,,,
148,6/29/2021,1859,,,,,,,,,,,,,
149,6/30/2021,1891,,,,,,,,,,,,,
150,7/1/2021,1812,,,,,,,,,,,,,
151,7/2/2021,1729,,,,,,,,,,,,,
152,7/3/2021,1813,,,,,,,,,,,,,
153,7/4/2021,1809,,,,,,,,,,,,,
154,7/5/2021,1765,,,,,,,,,,,,,
155,7/6/2021,1928,,,,,,,,,,,,,
156,7/7/2021,1843,,,,,,,,,,,,,
157,7/8/2021,1688,,,,,,,,,,,,,
158,7/9/2021,1798,,,,,,,,,,,,,
159,7/10/2021,1778,,,,,,,,,,,,,
160,7/11/2021,1728,,,,,,,,,,,,,
161,7/12/2021,1926,,,,,,,,,,,,,
162,7/13/2021,1875,,,,,,,,,,,,,
163,7/14/2021,1849,,,,,,,,,,,,,
164,7/15/2021,1885,,,,,,,,,,,,,
165,7/16/2021,1845,,,,,,,,,,,,,
166,7/17/2021,1813,,,,,,,,,,,,,
167,7/18/2021,1832,,,,,,,,,,,,,
168,7/19/2021,1859,,,,,,,,,,,,,
169,7/20/2021,1887,,,,,,,,,,,,,
170,7/21/2021,1851,,,,,,,,,,,,,
171,7/22/2021,1788,,,,,,,,,,,,,
172,7/23/2021,1831,,,,,,,,,,,,,
173,7/24/2021,1749,,,,,,,,,,,,,
174,7/25/2021,1793,,,,,,,,,,,,,
175,7/26/2021,1903,,,,,,,,,,,,,
176,7/27/2021,2031,,,,,,,,,,,,,
177,7/28/2021,1879,,,,,,,,,,,,,
178,7/29/2021,1793,,,,,,,,,,,,,
179,7/30/2021,1801,,,,,,,,,,,,,
180,7/31/2021,1735,,,,,,,,,,,,,
181,8/1/2021,1811,,,,,,,,,,,,,
182,8/2/2021,1932,,,,,,,,,,,,,
183,8/3/2021,1883,,,,,,,,,,,,,
184,8/4/2021,1864,,,,,,,,,,,,,
185,8/5/2021,1773,,,,,,,,,,,,,
186,8/6/2021,1844,,,,,,,,,,,,,
187,8/7/2021,1772,,,,,,,,,,,,,
188,8/8/2021,1763,,,,,,,,,,,,,
189,8/9/2021,1796,,,,,,,,,,,,,
190,8/10/2021,1917,,,,,,,,,,,,,
191,8/11/2021,1858,,,,,,,,,,,,,
192,8/12/2021,1828,,,,,,,,,,,,,
193,8/13/2021,2016,,,,,,,,,,,,,
194,8/14/2021,1893,,,,,,,,,,,,,
195,8/15/2021,1746,,,,,,,,,,,,,
196,8/16/2021,2060,,,,,,,,,,,,,
197,8/17/2021,1983,,,,,,,,,,,,,
198,8/18/2021,1921,,,,,,,,,,,,,
199,8/19/2021,1784,,,,,,,,,,,,,
200,8/20/2021,1775,,,,,,,,,,,,,
201,8/21/2021,1615,,,,,,,,,,,,,
202,8/22/2021,1744,,,,,,,,,,,,,
203,8/23/2021,1895,,,,,,,,,,,,,
204,8/24/2021,1888,,,,,,,,,,,,,
205,8/25/2021,1941,,,,,,,,,,,,,
206,8/26/2021,1868,,,,,,,,,,,,,
207,8/27/2021,1865,,,,,,,,,,,,,
208,8/28/2021,1870,,,,,,,,,,,,,
209,8/29/2021,1783,,,,,,,,,,,,,
210,8/30/2021,1869,,,,,,,,,,,,,
211,8/31/2021,1979,,,,,,,,,,,,,
212,9/1/2021,1905,,,,,,,,,,,,,
213,9/2/2021,1880,,,,,,,,,,,,,
214,9/3/2021,1742,,,,,,,,,,,,,
215,9/4/2021,1852,,,,,,,,,,,,,
216,9/5/2021,1727,,,,,,,,,,,,,
217,9/6/2021,1786,,,,,,,,,,,,,
218,9/7/2021,1872,,,,,,,,,,,,,
219,9/8/2021,1915,,,,,,,,,,,,,
220,9/9/2021,1824,,,,,,,,,,,,,
221,9/10/2021,1816,,,,,,,,,,,,,
222,9/11/2021,1798,,,,,,,,,,,,,
223,9/12/2021,1726,,,,,,,,,,,,,
224,9/13/2021,1906,,,,,,,,,,,,,
225,9/14/2021,1834,,,,,,,,,,,,,
226,9/15/2021,1860,,,,,,,,,,,,,
227,9/16/2021,1842,,,,,,,,,,,,,
228,9/17/2021,1913,,,,,,,,,,,,,
229,9/18/2021,1934,,,,,,,,,,,,,
230,9/19/2021,1866,,,,,,,,,,,,,
231,9/20/2021,1855,,,,,,,,,,,,,
232,9/21/2021,1848,,,,,,,,,,,,,
233,9/22/2021,1951,,,,,,,,,,,,,
234,9/23/2021,2030,,,,,,,,,,,,,
235,9/24/2021,2062,,,,,,,,,,,,,
236,9/25/2021,1988,,,,,,,,,,,,,
237,9/26/2021,1815,,,,,,,,,,,,,
238,9/27/2021,1834,,,,,,,,,,,,,
239,9/28/2021,1808,,,,,,,,,,,,,
240,9/29/2021,2156,,,,,,,,,,,,,
241,9/30/2021,2048,,,,,,,,,,,,,
242,10/1/2021,1963,,,,,,,,,,,,,
243,10/2/2021,1954,,,,,,,,,,,,,
244,10/3/2021,1744,,,,,,,,,,,,,
245,10/4/2021,1874,,,,,,,,,,,,,
246,10/5/2021,1828,,,,,,,,,,,,,
247,10/6/2021,1937,,,,,,,,,,,,,
248,10/7/2021,1831,,,,,,,,,,,,,
249,10/8/2021,1850,,,,,,,,,,,,,
250,10/9/2021,1976,,,,,,,,,,,,,
251,10/10/2021,1723,,,,,,,,,,,,,
252,10/11/2021,1889,,,,,,,,,,,,,
253,10/12/2021,1826,,,,,,,,,,,,,
254,10/13/2021,1818,,,,,,,,,,,,,
255,10/14/2021,1885,,,,,,,,,,,,,
256,10/15/2021,1793,,,,,,,,,,,,,
257,10/16/2021,1839,,,,,,,,,,,,,
258,10/17/2021,1695,,,,,,,,,,,,,
259,10/18/2021,1900,,,,,,,,,,,,,
260,10/19/2021,1912,,,,,,,,,,,,,
261,10/20/2021,1856,,,,,,,,,,,,,
262,10/21/2021,1848,,,,,,,,,,,,,
263,10/22/2021,1758,,,,,,,,,,,,,
264,10/23/2021,1811,,,,,,,,,,,,,
265,10/24/2021,1782,,,,,,,,,,,,,
266,10/25/2021,1890,,,,,,,,,,,,,
267,10/26/2021,1902,,,,,,,,,,,,,
268,10/27/2021,1851,,,,,,,,,,,,,
269,10/28/2021,1879,,,,,,,,,,,,,
270,10/29/2021,1842,,,,,,,,,,,,,
271,10/30/2021,1852,,,,,,,,,,,,,
272,10/31/2021,1683,,,,,,,,,,,,,
273,11/1/2021,2010,,,,,,,,,,,,,
274,11/2/2021,1971,,,,,,,,,,,,,
275,11/3/2021,1916,,,,,,,,,,,,,
276,11/4/2021,1870,,,,,,,,,,,,,
277,11/5/2021,1921,,,,,,,,,,,,,
278,11/6/2021,1823,,,,,,,,,,,,,
279,11/7/2021,1790,,,,,,,,,,,,,
280,11/8/2021,1917,,,,,,,,,,,,,
281,11/9/2021,2038,,,,,,,,,,,,,
282,11/10/2021,1984,,,,,,,,,,,,,
283,11/11/2021,1896,,,,,,,,,,,,,
284,11/12/2021,1983,,,,,,,,,,,,,
285,11/13/2021,1850,,,,,,,,,,,,,
286,11/14/2021,1831,,,,,,,,,,,,,
287,11/15/2021,1888,,,,,,,,,,,,,
288,11/16/2021,1902,,,,,,,,,,,,,
289,11/17/2021,1876,,,,,,,,,,,,,
290,11/18/2021,1872,,,,,,,,,,,,,
291,11/19/2021,1875,,,,,,,,,,,,,
292,11/20/2021,1858,,,,,,,,,,,,,
293,11/21/2021,1752,,,,,,,,,,,,,
294,11/22/2021,1798,,,,,,,,,,,,,
295,11/23/2021,2011,,,,,,,,,,,,,
296,11/24/2021,1846,,,,,,,,,,,,,
297,11/25/2021,1554,,,,,,,,,,,,,
298,11/26/2021,1780,,,,,,,,,,,,,
299,11/27/2021,1724,,,,,,,,,,,,,
300,11/28/2021,1697,,,,,,,,,,,,,
301,11/29/2021,1829,,,,,,,,,,,,,
302,11/30/2021,1897,,,,,,,,,,,,,
